container,date,status,location
MSKU0433135,2019-02-14 18:47:00,Empty,"Marport Terminal - Ambarli
Ambarli Port Istanbul, Turkey"
MRSU3310080,2019-01-29 04:00:00,Empty,"TIS
Yuzhny, Ukraine"
MRKU4308715,2019-01-27 19:29:00,Empty,"TIS
Yuzhny, Ukraine"
MSKU9445332,2019-01-27 19:28:00,Empty,"TIS
Yuzhny, Ukraine"
MRKU2757390,2019-01-27 19:28:00,Empty,"TIS
Yuzhny, Ukraine"
MSKU0475125,2019-01-27 19:29:00,Empty,"TIS
Yuzhny, Ukraine"
MRSU0303683,2019-02-22 09:46:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU8016563,2019-02-21 19:13:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MSKU7747117,2019-02-23 01:32:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU6537080,2019-02-22 11:50:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MSKU3486313,2019-02-22 18:35:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU8211718,2019-02-22 11:16:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU7956650,2019-02-22 11:53:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
PONU2074733,2019-02-22 12:21:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MSKU5048846,2019-02-23 02:05:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU8659929,2019-02-21 19:15:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU9538963,2019-02-23 03:40:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU8640899,2019-02-22 18:39:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU7307883,2019-02-23 01:58:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
TGHU0387108,2019-02-22 11:50:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU5707690,2019-02-20 17:04:00,Empty,"KLM - Kumport Lojistik Merkezi - Am
Ambarli Port Istanbul, Turkey"
MRKU6130279,2019-02-11 13:26:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU5360960,2019-02-12 21:13:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MSKU1362252,2019-02-11 13:23:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU2165111,2019-02-11 05:22:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
MRKU3875360,2019-02-11 05:22:00,Gate in,"First Container Terminal FCT
St Petersburg FCT, Russia"
TEMU1531347,2019-03-01 14:00:00,Gate in,"Auckland Metroport Inland Terminal
Auckland Metroport, New Zealand"
MSKU6326411,2019-03-06 04:14:00,Gate in,"Auckland Metroport Inland Terminal
Auckland Metroport, New Zealand"
MRKU7563592,2019-03-01 01:36:00,Gate in,"Auckland Metroport Inland Terminal
Auckland Metroport, New Zealand"
